IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.148.247.189,443,443,true,FRA,Europe,Frankfurt,185,9.47
158.178.159.130,443,443,true,FRA,Europe,Frankfurt,179,9.46
141.147.93.204,443,443,true,FRA,Europe,Frankfurt,187,9.41
141.147.76.102,443,443,true,FRA,Europe,Frankfurt,164,9.41
193.122.9.188,443,443,true,FRA,Europe,Frankfurt,165,9.38
64.181.240.173,443,443,true,SJC,North America,San Jose,190,9.35
130.162.185.9,443,443,true,FRA,Europe,Frankfurt,178,9.32
158.101.210.234,443,443,true,FRA,Europe,Frankfurt,173,9.32
158.101.209.39,443,443,true,FRA,Europe,Frankfurt,178,9.31
84.8.149.14,443,443,true,FRA,Europe,Frankfurt,188,9.28
158.178.158.211,443,443,true,FRA,Europe,Frankfurt,205,9.16
79.72.67.229,443,443,true,FRA,Europe,Frankfurt,187,9.14
152.70.123.225,8443,443,true,SJC,North America,San Jose,198,9.14
192.9.246.112,8443,443,true,SJC,North America,San Jose,207,9.13
150.230.114.174,443,443,true,FRA,Europe,Frankfurt,163,9.07
130.61.170.78,443,443,true,FRA,Europe,Frankfurt,196,9.06
79.72.64.157,443,443,true,FRA,Europe,Frankfurt,178,9.02
150.230.114.105,443,443,true,FRA,Europe,Frankfurt,178,8.96
79.72.91.176,443,443,true,FRA,Europe,Frankfurt,178,8.95
79.72.83.232,443,443,true,FRA,Europe,Frankfurt,162,8.95
158.180.27.83,443,443,true,FRA,Europe,Frankfurt,191,8.92
130.162.178.199,443,443,true,FRA,Europe,Frankfurt,185,8.91
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,174,8.84
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,193,8.82
158.179.206.143,443,443,true,ARN,Europe,Stockholm,170,8.80
138.2.128.116,443,443,true,FRA,Europe,Frankfurt,188,8.69
152.67.231.226,443,443,true,SJC,North America,San Jose,176,8.68
152.70.60.250,443,443,true,FRA,Europe,Frankfurt,175,8.60
130.162.166.160,443,443,true,FRA,Europe,Frankfurt,197,8.59
192.18.140.32,443,443,true,SJC,North America,San Jose,197,8.58
129.146.240.62,443,443,true,LAX,North America,Los Angeles,221,8.53
152.70.56.90,443,443,true,FRA,Europe,Frankfurt,180,8.53
130.61.23.77,443,443,true,FRA,Europe,Frankfurt,199,8.53
150.230.42.80,443,443,true,SJC,North America,San Jose,189,8.38
130.162.164.2,443,443,true,FRA,Europe,Frankfurt,162,8.34
141.147.107.229,443,443,true,FRA,Europe,Frankfurt,175,8.31
129.146.60.210,443,443,true,LAX,North America,Los Angeles,205,8.22
